,related_question_output,unrelated_question_output
ABSTAIN,147.0,141.0
adidas,1.0,
africa,,1.0
airport,3.0,
amtrak,,1.0
apple,3.0,3.0
apples,1.0,
asian,1.0,1.0
baby,1.0,
backpack,,1.0
ball,1.0,2.0
balloons,1.0,
banana,1.0,1.0
bananas,,1.0
barbed wire,,1.0
baseball,,1.0
bathroom,4.0,
bathtub,,1.0
beach,,1.0
beagle,1.0,
beard,1.0,
bed,2.0,1.0
bedroom,3.0,3.0
beef,,1.0
beer,,1.0
bike,1.0,
bird,1.0,
birthday,1.0,
black,7.0,11.0
black and white,3.0,1.0
blender,1.0,
blue,13.0,10.0
boat,1.0,
boating,,1.0
books,1.0,
bow,1.0,
box,1.0,
boxer,1.0,
brace,,1.0
brick,1.0,1.0
bridge,2.0,
broccoli,1.0,
brown,8.0,12.0
building,1.0,
bus,,2.0
cake,4.0,
california,,1.0
camera,1.0,
carpet,1.0,
carrots,,2.0
cat,5.0,3.0
catcher,,1.0
chicken,1.0,
children,,1.0
christmas,4.0,1.0
church,,1.0
cinnamon,1.0,
clear,1.0,1.0
clock,1.0,
closed,1.0,
clothes,,1.0
clouds,,1.0
cloudy,,1.0
clydesdale,1.0,
coins,1.0,
cold,,1.0
commercial,,1.0
cones,1.0,
costume,,1.0
cotton,,1.0
couch,1.0,
counter,,1.0
cowboy,,1.0
crib,1.0,
cumulus,,1.0
dairy,,1.0
dawn,,1.0
day,2.0,
deer,,1.0
dell,1.0,1.0
digital,1.0,
dirt,1.0,
dog,3.0,
donuts,4.0,1.0
doubles,,1.0
dragon,1.0,
dress,1.0,
duck,,1.0
ducks,1.0,
dugout,,1.0
eagle,1.0,
eating,1.0,1.0
electric,1.0,
europe,,1.0
evening,,1.0
fall,2.0,
fast,1.0,
female,2.0,1.0
fence,,1.0
field,,2.0
firefighter,1.0,
fireplace,,1.0
flamingo,1.0,
floral,,1.0
flowers,1.0,1.0
flying,1.0,
flying kite,,1.0
flying kites,,1.0
food,1.0,1.0
football,1.0,
fries,1.0,
frisbee,5.0,6.0
fruit,,1.0
gas,1.0,1.0
giraffe,1.0,
girl,,1.0
glass,1.0,2.0
glasses,1.0,1.0
going,1.0,
google,1.0,
graffiti,1.0,
granite,1.0,
grass,1.0,1.0
gray,5.0,2.0
green,9.0,10.0
hair,,1.0
half,,1.0
happy,2.0,3.0
happy birthday,,1.0
harley,1.0,2.0
hat,,1.0
head,1.0,
headphones,,1.0
helmet,1.0,
high,1.0,
horse,1.0,
horses,,1.0
hot,,1.0
hot dog,2.0,
in air,,1.0
iphone,1.0,
italian,,1.0
kitchen,2.0,
kite,3.0,1.0
kites,,3.0
knife,1.0,2.0
lab,,1.0
laptop,2.0,2.0
large,,1.0
leather,1.0,
left,1.0,
lemon,,1.0
light,,1.0
living room,1.0,1.0
lot,1.0,
lunch,1.0,
male,1.0,1.0
man,3.0,4.0
map,,1.0
mario,1.0,
metal,,2.0
mirror,,1.0
morning,,1.0
motion,,1.0
motorcycle,3.0,1.0
museum,,1.0
mushrooms,2.0,
new york,,1.0
night,1.0,1.0
nobody,,1.0
north america,1.0,
nothing,2.0,1.0
nowhere,,1.0
oak,1.0,2.0
off,,1.0
on ground,,1.0
on his head,1.0,
on plate,,1.0
on tracks,2.0,
orange,3.0,3.0
outdoors,,3.0
paddle,,1.0
paddle boarding,,1.0
painting,1.0,
panda,,1.0
paper,1.0,2.0
parade,,1.0
passenger,,1.0
people,2.0,2.0
pepperoni,3.0,
phone,2.0,3.0
photographer,,1.0
pickup,1.0,
pillow,,1.0
pink,2.0,5.0
pitch,1.0,
pizza,3.0,1.0
plaid,1.0,1.0
plane,,3.0
planes,,1.0
plant,,2.0
plastic,1.0,
play tennis,,1.0
playing,1.0,
playing tennis,,1.0
playing wii,1.0,
polka dots,1.0,
polo,1.0,
ponytail,4.0,
porcelain,,1.0
posing,,1.0
professional,,1.0
purple,,1.0
rain,,1.0
rainbow,1.0,
rainy,,1.0
real,1.0,
rectangle,,1.0
red,15.0,11.0
red and green,1.0,
restaurant,,1.0
right,1.0,5.0
ring,1.0,
rug,,2.0
sailboat,,1.0
salad,1.0,2.0
salt,1.0,
sand,2.0,1.0
sandwich,,1.0
scissors,2.0,3.0
serve,1.0,
sesame,,1.0
sheep,,1.0
shirt,,1.0
shower curtain,,1.0
sidewalk,,1.0
silver,,1.0
sitting,2.0,
skateboard,2.0,2.0
skateboarding,4.0,2.0
ski poles,1.0,1.0
skiers,,1.0
skiing,3.0,4.0
skis,1.0,2.0
sky,,1.0
sleeping,,1.0
snow,3.0,1.0
snowboard,,3.0
snowboarding,,1.0
soccer,1.0,3.0
soldiers,1.0,
soup,1.0,
spinach,,1.0
spoon,,2.0
square,,2.0
standing,1.0,4.0
star wars,,1.0
steak,1.0,
steps,,1.0
stone,1.0,
stop,2.0,
stove,,1.0
strawberries,,1.0
street,,2.0
stripes,1.0,
students,1.0,
sugar,1.0,
summer,3.0,1.0
sunny,4.0,1.0
surf,,1.0
surfboard,2.0,1.0
surfer,1.0,
surfing,,2.0
tabby,1.0,2.0
talking on phone,1.0,
tan,1.0,1.0
teddy bear,,1.0
tennis,4.0,3.0
tennis ball,1.0,
tennis player,,1.0
tennis racket,1.0,2.0
tennis shoes,1.0,
tile,,1.0
time,1.0,
tools,1.0,
toothbrush,1.0,
train,2.0,2.0
train station,1.0,
tree,,1.0
trees,2.0,
umbrella,1.0,
up,2.0,1.0
usa,,1.0
van,1.0,
visor,,1.0
walking,2.0,3.0
wall,1.0,1.0
warm,,1.0
water,1.0,1.0
wet,1.0,
wetsuit,,1.0
wheat,,1.0
white,16.0,27.0
wii,2.0,1.0
windows,1.0,
wine glass,,1.0
winter,1.0,
woman,1.0,2.0
wood,5.0,1.0
words,1.0,
yellow,11.0,7.0
zoo,2.0,
