,related_question_output,unrelated_question_output
0,3.0,17.0
1,,1.0
1 hour,,1.0
2010,,1.0
N/A,2.0,
above stove,,1.0
adidas,,1.0
afternoon,1.0,2.0
airplane,,2.0
american,,1.0
apple,1.0,6.0
away,,1.0
background,,1.0
bad,,1.0
balance,,1.0
ball,,1.0
banana,,1.0
bank of america,,1.0
baseball,1.0,3.0
baseball field,1.0,
basketball,,1.0
bat,1.0,
bathroom,2.0,
beach,,2.0
bear,1.0,2.0
beard,,1.0
bears,,1.0
bed,,2.0
bedroom,1.0,
beef,,1.0
beer,,1.0
bench,1.0,
big,,1.0
biking,,1.0
bird,,1.0
birds,1.0,1.0
birthday,,2.0
black,13.0,28.0
black and white,1.0,
blanket,,1.0
blue,8.0,11.0
boat,,1.0
bob,,1.0
book,1.0,
bored,,1.0
bottle,,1.0
bowl,,1.0
boy,1.0,
breakfast,1.0,1.0
brick,1.0,2.0
britain,,1.0
british,,1.0
broccoli,1.0,2.0
brown,10.0,20.0
building,,1.0
bus,1.0,
camera,,2.0
can't tell,,1.0
car,,1.0
carrots,,1.0
cars,1.0,
casual,,1.0
cat,2.0,1.0
cheese,,9.0
chicken,,1.0
child,,1.0
clear,1.0,1.0
closed,1.0,
cloth,,1.0
cloudy,,1.0
coca cola,,1.0
coffee,1.0,1.0
collar,,1.0
computer,2.0,1.0
concentration,,1.0
cotton,1.0,
couch,1.0,
cow,1.0,1.0
cows,,1.0
cupcake,,1.0
current,1.0,
cutting cake,,1.0
dairy,,1.0
daytime,,2.0
dining room,1.0,1.0
dirt,3.0,2.0
dog,1.0,3.0
dogs,,1.0
donuts,,2.0
down,2.0,2.0
drywall,,1.0
ear,,1.0
eating,3.0,2.0
egg,,1.0
english,1.0,
equestrian,,1.0
evening,,1.0
face,,1.0
farm,,1.0
farmer,,1.0
female,2.0,
floor,,3.0
flower,,1.0
flowers,,1.0
flying,,1.0
flying kite,1.0,
flying kites,1.0,
foam,,1.0
food,1.0,
forehand,1.0,
fork,,1.0
french,,1.0
fries,,1.0
frisbee,1.0,
front,,1.0
fruit,,1.0
garage,,1.0
gas,,1.0
girl,1.0,
glass,1.0,1.0
glasses,1.0,1.0
gloves,,1.0
go,,1.0
good,,1.0
grass,4.0,5.0
gray,,1.0
green,10.0,10.0
grill,,1.0
ground,,2.0
hand,,2.0
happy,,1.0
happy birthday,,1.0
hardwood,,1.0
harley,,2.0
hat,,2.0
hay,,1.0
he's not,,1.0
heart,,1.0
heinz,1.0,
hiking,,1.0
home,,2.0
horse,2.0,3.0
horseback riding,,1.0
hot dog,1.0,2.0
hotel,1.0,
human,1.0,6.0
humans,,1.0
in,,1.0
in sky,,1.0
inside,1.0,1.0
it's not,,1.0
jacket,,1.0
jeans,,2.0
keyboard,,1.0
kitchen,1.0,2.0
kite,1.0,1.0
laptop,2.0,
leaves,,1.0
left,,6.0
leopard,,1.0
light,,1.0
living room,1.0,
logo,,1.0
london,,1.0
looking,,1.0
lunch,,2.0
male,1.0,
man,4.0,1.0
many,,1.0
mcdonald's,,2.0
metal,1.0,2.0
metro,,1.0
mirror,,1.0
modern,,3.0
morning,,1.0
motorcycle,1.0,2.0
mountain,,1.0
mouse,,2.0
necklace,,1.0
neither,2.0,1.0
new,,1.0
new york,,2.0
next to toilet,,1.0
night,1.0,
nike,1.0,1.0
no,2.0,18.0
no cat,1.0,7.0
no dog,,2.0
no flag,,1.0
no hat,,3.0
no sign,,1.0
no train,1.0,
nobody,,1.0
north,,1.0
not possible,,1.0
nothing,39.0,76.0
nowhere,,16.0
oak,,2.0
off,4.0,
office,1.0,
olives,,1.0
on building,,2.0
on table,,1.0
orange,5.0,5.0
oranges,,2.0
outside,3.0,10.0
oven,,1.0
paint,,1.0
pants,,1.0
paper,,1.0
park,,1.0
parked,,2.0
people,,3.0
peppers,,1.0
