,related_question_output,unrelated_question_output
0,,4.0
ABSTAIN,147.0,273.0
adidas,1.0,
adults,,1.0
afternoon,,2.0
airport,3.0,
american,,1.0
apple,3.0,2.0
apples,1.0,
asian,1.0,
baby,1.0,
ball,1.0,1.0
balloons,1.0,
banana,1.0,1.0
baseball,,1.0
bathroom,4.0,1.0
beach,,1.0
beagle,1.0,
beard,1.0,
bed,2.0,
bedroom,3.0,1.0
bike,1.0,
bird,1.0,1.0
birds,,1.0
birthday,1.0,1.0
black,7.0,14.0
black and white,3.0,
blender,1.0,
blue,13.0,7.0
boat,1.0,
boating,,1.0
books,1.0,1.0
bow,1.0,
box,1.0,
boxer,1.0,
brick,1.0,1.0
bridge,2.0,
broccoli,1.0,
brown,8.0,9.0
brushing teeth,,1.0
building,1.0,
cake,4.0,
camera,1.0,
carpet,1.0,
cat,5.0,
chicken,1.0,
christmas,4.0,
cinnamon,1.0,
clear,1.0,
clock,1.0,
closed,1.0,
clydesdale,1.0,
coffee,,1.0
coins,1.0,
cones,1.0,
couch,1.0,
crib,1.0,
cut,,1.0
day,2.0,
daytime,,1.0
dell,1.0,
desk,,1.0
digital,1.0,
dinner,,1.0
dirt,1.0,
dog,3.0,1.0
donuts,4.0,1.0
dragon,1.0,
dress,1.0,
ducks,1.0,
eagle,1.0,
eat,,1.0
eating,1.0,1.0
electric,1.0,1.0
english,,2.0
fall,2.0,
farm,,1.0
fast,1.0,
female,2.0,
firefighter,1.0,
flamingo,1.0,
flowers,1.0,
flying,1.0,
food,1.0,
football,1.0,
friends,,1.0
fries,1.0,
frisbee,5.0,
fruit,,1.0
gas,1.0,
giraffe,1.0,
glass,1.0,
glasses,1.0,
glove,,1.0
going,1.0,
google,1.0,
graffiti,1.0,
granite,1.0,
grass,1.0,1.0
gray,5.0,3.0
green,9.0,6.0
happy,2.0,
harley,1.0,
hat,,2.0
head,1.0,
helmet,1.0,
high,1.0,
hill,,1.0
home,,1.0
horse,1.0,1.0
horses,,1.0
hot dog,2.0,
human,,2.0
humans,,1.0
inside,,1.0
iphone,1.0,
kitchen,2.0,
kite,3.0,1.0
knife,1.0,
lake,,1.0
laptop,2.0,1.0
leather,1.0,
left,1.0,2.0
living room,1.0,
lot,1.0,
lunch,1.0,1.0
male,1.0,
man,3.0,2.0
mario,1.0,
microwave,,1.0
modern,,1.0
motorcycle,3.0,
mushrooms,2.0,
neither,,1.0
night,1.0,1.0
nike,,1.0
no dog,,1.0
nobody,,1.0
north america,1.0,1.0
nothing,2.0,26.0
nowhere,,7.0
oak,1.0,2.0
on his head,1.0,
on tracks,2.0,
orange,3.0,
outside,,3.0
painting,1.0,
paper,1.0,
people,2.0,
pepperoni,3.0,
pepsi,,1.0
phone,2.0,
pickup,1.0,
pink,2.0,1.0
pitch,1.0,
pizza,3.0,2.0
plaid,1.0,
plastic,1.0,
playing,1.0,
playing soccer,,1.0
playing wii,1.0,1.0
polka dots,1.0,
polo,1.0,
ponytail,4.0,
rainbow,1.0,
real,1.0,2.0
red,15.0,3.0
red and green,1.0,
restaurant,,2.0
riding motorcycle,,1.0
right,1.0,1.0
ring,1.0,
salad,1.0,
salt,1.0,
sand,2.0,
scissors,2.0,
serve,1.0,
serving,,1.0
sheep,,1.0
shorts,,1.0
signs,,1.0
sitting,2.0,2.0
skateboard,2.0,1.0
skateboarding,4.0,
ski poles,1.0,2.0
skiing,3.0,
skis,1.0,1.0
sleeping,,1.0
snow,3.0,1.0
snowboarding,,1.0
soccer,1.0,
socks,,1.0
soldiers,1.0,
solid,,1.0
soup,1.0,
standing,1.0,2.0
standing still,,1.0
steak,1.0,
stone,1.0,
stop,2.0,2.0
stripes,1.0,
students,1.0,
sugar,1.0,
summer,3.0,
sunny,4.0,2.0
surfboard,2.0,1.0
surfer,1.0,
surfing,,2.0
swimming,,1.0
tabby,1.0,
take off,,1.0
talking on phone,1.0,
tan,1.0,
tennis,4.0,1.0
tennis ball,1.0,
tennis court,,1.0
tennis racket,1.0,
tennis shoes,1.0,1.0
tile,,1.0
time,1.0,
tongue,,1.0
tools,1.0,
toothbrush,1.0,
top,,2.0
train,2.0,1.0
train station,1.0,
trees,2.0,
umbrella,1.0,1.0
up,2.0,
urban,,1.0
van,1.0,
vegetables,,1.0
walking,2.0,
wall,1.0,
watch,,1.0
water,1.0,3.0
wet,1.0,
wetsuit,,1.0
white,16.0,22.0
wii,2.0,1.0
windows,1.0,
winter,1.0,
woman,1.0,
wood,5.0,2.0
words,1.0,
yellow,11.0,1.0
zoo,2.0,
