,related_question_output,unrelated_question_output
0,2.0,7.0
1,,1.0
2,,1.0
2 people,,1.0
3 feet,,1.0
N/A,,2.0
afternoon,,1.0
airplane,,2.0
airport,1.0,
american,,1.0
american flag,,1.0
apple,1.0,2.0
arriving,,1.0
art,,1.0
asian,1.0,
avocado,,1.0
away,,1.0
b,,1.0
background,,2.0
bad,,1.0
bag,1.0,
ball,,2.0
banana,1.0,
bananas,1.0,
bandana,,1.0
barn,1.0,
base,1.0,
baseball,7.0,4.0
baseball field,1.0,1.0
bathroom,5.0,1.0
beach,1.0,1.0
bear,3.0,1.0
bed,1.0,1.0
bedroom,1.0,
beef,1.0,2.0
bench,2.0,
big,,1.0
bike,1.0,
biking,,1.0
bird,,1.0
birthday,,1.0
black,23.0,14.0
black and white,4.0,
blanket,,3.0
blonde,1.0,
blue,12.0,6.0
blue and white,1.0,
blurry,1.0,
bmw,,1.0
boating,1.0,
boots,1.0,
bottom,,1.0
bowl,,1.0
boy,2.0,
bread,,1.0
breakfast,2.0,1.0
brick,3.0,1.0
bridge,1.0,
britain,,1.0
broccoli,1.0,2.0
brown,11.0,14.0
brush,,1.0
building,1.0,1.0
bunt,,1.0
burton,,1.0
bus,2.0,
business,1.0,
cactus,1.0,
cake,1.0,
calm,,1.0
camera,1.0,2.0
can't tell,,1.0
carrots,1.0,1.0
cars,1.0,
casual,,1.0
cat,3.0,1.0
cauliflower,1.0,
caution,,1.0
chase,,1.0
cheddar,,1.0
cheese,3.0,2.0
cheesecake,1.0,
chicken,,1.0
child,,1.0
christmas,1.0,
clear,,2.0
climbing,1.0,
clock,1.0,
closed,1.0,
cloudy,1.0,
coca cola,1.0,
coffee,1.0,
color,1.0,2.0
comforter,,1.0
computer,2.0,
concentration,,1.0
couch,2.0,1.0
cow,3.0,
cowboy,,1.0
cows,,1.0
cupcake,,1.0
cutting cake,,1.0
dark,,1.0
daytime,1.0,1.0
dell,,1.0
dirt,1.0,
dodgers,,1.0
dog,1.0,2.0
dogs,,1.0
down,,1.0
ear,,1.0
eating,4.0,2.0
egg,,1.0
elephant,2.0,
elephants,1.0,
english,2.0,3.0
europe,,1.0
evening,,2.0
face,,1.0
farmer,,1.0
female,1.0,
fence,1.0,
field,,1.0
finch,,1.0
floating,1.0,
floor,1.0,1.0
flowers,1.0,2.0
flying,,1.0
food,2.0,
forehand,1.0,
fork,1.0,1.0
frisbee,,1.0
frog,,1.0
front,,1.0
garage,,1.0
gas,1.0,
gas station,,1.0
giraffe,1.0,
girl,3.0,1.0
glass,,1.0
glazed,2.0,
gloves,1.0,1.0
go,,1.0
graffiti,,1.0
grass,3.0,2.0
gray,4.0,2.0
green,18.0,4.0
grill,1.0,
ground,1.0,1.0
hand,1.0,
happy,1.0,
harley,,2.0
hat,3.0,
hawk,,1.0
hay,1.0,
he's not,,1.0
heart,,1.0
heavy,,1.0
helmet,2.0,
helmets,1.0,
herding,1.0,
hiking,,1.0
hit,1.0,
holding it,,1.0
home,,2.0
horse,4.0,2.0
horses,,1.0
hot dog,2.0,2.0
hotel,1.0,1.0
human,1.0,4.0
in,,1.0
india,,1.0
inside,,1.0
jacket,,1.0
jeans,,2.0
kayaking,,1.0
keyboard,,1.0
kitchen,2.0,1.0
kite,1.0,
kites,1.0,
knife,,1.0
landing,,1.0
lanyard,1.0,
laptop,5.0,
left,,7.0
light,,2.0
living room,5.0,1.0
london,1.0,1.0
looking,,2.0
lunch,1.0,1.0
m,,1.0
macaroni,,1.0
male,1.0,
males,1.0,
man,4.0,2.0
menu,,1.0
metal,2.0,1.0
milk,1.0,
modern,,3.0
morning,,1.0
motion,,1.0
motorcycle,3.0,1.0
mountain,,2.0
mouse,1.0,1.0
neither,,1.0
new,,2.0
newspaper,,1.0
night,1.0,
nike,2.0,
no,2.0,10.0
no cat,2.0,5.0
no dog,1.0,1.0
no hat,,1.0
no parking,,1.0
no sign,,1.0
nobody,1.0,1.0
noon,1.0,
north,,1.0
not likely,1.0,
nothing,21.0,35.0
nowhere,,9.0
nursing,,1.0
oak,2.0,1.0
octopus,,1.0
off,4.0,
office,5.0,
on building,1.0,1.0
on plate,2.0,
on sign,,1.0
on table,,1.0
on tracks,,1.0
onions,,1.0
orange,6.0,3.0
oranges,1.0,1.0
outside,2.0,6.0
oval,,2.0
oven,2.0,
owner,,1.0
park,,1.0
parked,,2.0
parking,,1.0
peanut butter,,1.0
pee,1.0,
pelicans,,1.0
people,1.0,1.0
pepperoni,2.0,
pepsi,,1.0
phone,2.0,2.0
photographer,,2.0
picnic,,1.0
pigeon,,1.0
pigeons,,1.0
pine,,1.0
pink,4.0,2.0
pizza,2.0,4.0
plaid,,1.0
plain,,1.0
plane,1.0,1.0
plastic,,2.0
plate,,1.0
plow,1.0,
police,,1.0
porcelain,,1.0
posing,,1.0
purple,2.0,
rack,,1.0
railing,,1.0
rainbow,1.0,
reading,,1.0
rectangle,1.0,
red,15.0,8.0
red and green,,1.0
red sox,,1.0
refrigerator,3.0,
reins,1.0,
remote,1.0,1.0
restaurant,1.0,1.0
right,3.0,3.0
river,,1.0
road,1.0,2.0
rocks,,1.0
roman,,1.0
roof,1.0,
rug,,1.0
safety,,1.0
sailboat,1.0,
samsung,,1.0
sand,2.0,
sandwich,1.0,1.0
school,,2.0
serve,1.0,
shadow,1.0,
sheep,2.0,
shirt,,2.0
short,1.0,
sign,2.0,1.0
silver,2.0,1.0
singles,1.0,
sink,,2.0
sitting,1.0,3.0
skateboard,1.0,
skateboarding,3.0,
ski,1.0,
ski lift,1.0,
ski poles,1.0,
skiing,1.0,1.0
sky,2.0,1.0
sleeping,1.0,1.0
small,4.0,2.0
smile,,1.0
smoke,,1.0
snow,1.0,1.0
snowboard,1.0,
soccer,3.0,1.0
soccer field,,1.0
solid,1.0,1.0
sony ericsson,,1.0
soon,,1.0
spinach,1.0,1.0
spring,1.0,2.0
square,1.0,
squares,,1.0
stained glass,,1.0
standing,2.0,2.0
statue,1.0,
steak,,1.0
stone,1.0,1.0
stop,1.0,4.0
strawberry,1.0,
street,,1.0
stripes,1.0,
sugar,1.0,
suitcase,1.0,1.0
summer,1.0,
sun,,1.0
sunny,3.0,1.0
sunset,1.0,
surfboard,3.0,2.0
surfing,2.0,
swimsuit,,1.0
t,,1.0
table,,4.0
taking off,1.0,1.0
talking,,1.0
tan,1.0,1.0
tattoo,,1.0
teddy,,1.0
teddy bear,,2.0
tennis,4.0,
tennis ball,1.0,
tennis court,1.0,
tennis racket,1.0,
tennis rackets,1.0,
throw,,1.0
tile,1.0,1.0
toilet,1.0,1.0
tomatoes,,1.0
toy,,1.0
toyota,,1.0
traffic,,1.0
traffic light,,1.0
train,2.0,2.0
transportation,,1.0
trash,,1.0
trees,,1.0
truck,3.0,
umbrella,4.0,
umbrellas,,1.0
umpire,,1.0
unknown,,19.0
up,,1.0
van,1.0,
vegetables,,1.0
very,,1.0
virgin atlantic,1.0,
waiting,,1.0
walk,,1.0
walking,,2.0
wall,1.0,2.0
washington,,1.0
watching tv,,1.0
water,1.0,3.0
wetsuits,1.0,
white,34.0,32.0
wii,1.0,
windows,1.0,1.0
wine,1.0,2.0
winter,4.0,
woman,1.0,1.0
wood,5.0,4.0
working,,2.0
yellow,9.0,2.0
young,1.0,
zipper,,1.0
